,country_id,latitude,longitude,bright_ti4,bright_ti5,scan,track,acq_date,acq_time,frp,daynight
250,CZE,49.78407,18.31889,327.2,277.4,0.39,0.37,2020-12-01,1136,2.5,D
251,CZE,49.86126,18.27655,325.2,276.0,0.39,0.37,2020-12-01,1136,2.6,D
252,CZE,49.67768,18.66147,298.9,266.3,0.43,0.62,2020-12-01,2348,0.8,N
253,CZE,49.67932,18.66678,324.97,269.84,0.53,0.42,2022-03-01,117,2.57,N
254,CZE,49.68085,18.65979,298.2,271.33,0.53,0.42,2022-03-01,117,2.57,N
255,CZE,49.68451,18.66171,301.02,271.23,0.53,0.42,2022-03-01,117,1.13,N
256,CZE,49.57595,16.26018,354.8,279.21,0.41,0.45,2022-03-01,1106,8.97,D
257,CZE,49.68017,18.66486,331.64,282.19,0.49,0.41,2022-03-01,1106,8.3,D
258,CZE,49.81538,18.31572,336.09,282.16,0.51,0.41,2022-03-01,1106,4.78,D
259,CZE,49.77327,15.05952,331.32,278.64,0.45,0.63,2022-03-01,1246,3.48,D
260,CZE,49.33474,13.21006,343.03,293.97,0.5,0.66,2022-06-01,1043,4.25,D
261,DEU,51.88,12.57394,299.3,273.2,0.42,0.38,2020-03-01,100,0.9,N
262,DEU,51.88341,12.5751,305.0,272.8,0.42,0.38,2020-03-01,100,0.9,N
263,DEU,52.17094,14.64072,306.2,277.1,0.39,0.36,2020-03-01,100,0.9,N
264,DEU,52.17257,14.62944,307.4,277.1,0.39,0.36,2020-03-01,100,1.2,N
265,DEU,52.175,14.61252,299.6,278.7,0.39,0.36,2020-03-01,100,1.0,N
266,DEU,52.35347,9.88813,299.1,275.6,0.51,0.41,2020-03-01,100,1.1,N
267,DEU,52.39897,12.49993,310.7,270.7,0.43,0.38,2020-03-01,100,0.8,N
268,DEU,52.79354,8.09697,316.3,275.0,0.4,0.44,2020-03-01,100,1.6,N
269,DEU,52.79759,8.09795,315.7,274.5,0.4,0.44,2020-03-01,100,1.6,N
270,DEU,53.1302,8.67233,295.8,275.0,0.57,0.43,2020-03-01,100,3.2,N
271,DEU,53.13339,8.68189,327.0,277.6,0.57,0.43,2020-03-01,100,3.2,N
272,DEU,53.13814,8.67429,299.3,276.0,0.57,0.43,2020-03-01,100,1.6,N
